type,ev
401(k),71361
401(k),79708
401(k),81505
401(k),167840
401(k),94590
401(k),134290
Paid Time Off,115718
401(k),158263
Paid Time Off,65396
401(k),134408
Paid Time Off,194830
Health Insurance,172379
401(k),131752
Stock Options,186793
401(k),77592
401(k),181919
Health Insurance,142733
Health Insurance,176885
401(k),156765
401(k),77866
401(k),64998
401(k),174519
401(k),89991
401(k),107916
401(k),131262
Remote Work,103187
Paid Time Off,117397
Stock Options,87172
401(k),104093
401(k),153326
Remote Work,158286
401(k),54588
401(k),149731
401(k),71146
Paid Time Off,136108
Health Insurance,106574
401(k),77141
401(k),74136
Paid Time Off,70921
Stock Options,193291
401(k),150602
Paid Time Off,123371
Remote Work,99144
Stock Options,143055
401(k),84911
Remote Work,134059
Health Insurance,126149
401(k),150236
Health Insurance,75756
Health Insurance,172867
401(k),57319
401(k),52626
401(k),130715
401(k),151318
Remote Work,128335
401(k),196348
401(k),74334
401(k),97331
401(k),111143
401(k),107469
Stock Options,117205
401(k),79177
401(k),189824
401(k),86015
401(k),129415
Remote Work,191981
Remote Work,112169
401(k),184616
Paid Time Off,191120
Health Insurance,129791
Paid Time Off,145073
Health Insurance,53679
401(k),94434
401(k),180009
Remote Work,148042
Stock Options,167411
401(k),107609
Remote Work,185025
401(k),163452
Health Insurance,56794
401(k),96850
401(k),53566
401(k),156147
Paid Time Off,103049
401(k),167000
401(k),140047
Stock Options,125180
401(k),196094
401(k),176971
401(k),82057
401(k),50530
401(k),91448
Remote Work,123734
Paid Time Off,138726
401(k),51408
Stock Options,196259
401(k),194592
Paid Time Off,50740
Stock Options,184621
401(k),192185
Remote Work,117420
Stock Options,109891
Stock Options,135418
401(k),183090
401(k),67118
Paid Time Off,105789
401(k),80469
Remote Work,174447
401(k),168495
401(k),88782
Health Insurance,76338
Health Insurance,58330
401(k),93723
401(k),123844
Health Insurance,55055
Remote Work,93701
401(k),95938
401(k),189765
Stock Options,56152
Stock Options,124907
Stock Options,105837
401(k),189953
Paid Time Off,64885
Stock Options,122200
401(k),157705
Remote Work,70635
Stock Options,150194
401(k),81269
401(k),151233
Health Insurance,82078
Health Insurance,61727
Remote Work,126549
401(k),126033
Paid Time Off,198683
Remote Work,156978
Paid Time Off,185646
Stock Options,113615
401(k),128351
Remote Work,196774
401(k),127526
401(k),55236
401(k),186814
401(k),106174
Paid Time Off,128246
Health Insurance,123525
Paid Time Off,164950
401(k),77225
Paid Time Off,54526
Stock Options,152857
Health Insurance,135860
Paid Time Off,84967
401(k),199785
401(k),76371
401(k),96227
401(k),187553
401(k),133700
401(k),119789
401(k),101232
401(k),152910
Health Insurance,91942
Health Insurance,155287
Stock Options,122386
Paid Time Off,135945
Health Insurance,52688
Health Insurance,157291
Paid Time Off,197096
401(k),87863
401(k),64196
401(k),63963
401(k),184993
401(k),153147
401(k),112253
401(k),177600
Paid Time Off,143396
401(k),193145
Remote Work,130035
Stock Options,178447
Stock Options,132761
Health Insurance,117179
401(k),138819
Stock Options,133439
401(k),129262
Stock Options,98044
401(k),97052
401(k),83034
Stock Options,124698
Paid Time Off,78046
401(k),148389
401(k),153504
Paid Time Off,75092
Stock Options,149888
Remote Work,163284
Paid Time Off,80621
401(k),158402
401(k),73753
Health Insurance,103846
401(k),160096
401(k),67208
Paid Time Off,153490
401(k),118044
401(k),175567
Paid Time Off,81073
401(k),71229
Paid Time Off,78049
401(k),98176
401(k),118999
401(k),120520
401(k),198661
Paid Time Off,51528
Stock Options,107643
401(k),59782
401(k),124079
401(k),82646
Health Insurance,63331
Health Insurance,125451
Stock Options,104879
Paid Time Off,55793
401(k),196949
401(k),55274
401(k),98851
401(k),125374
401(k),56863
Paid Time Off,172369
401(k),57578
Paid Time Off,130390
401(k),106184
Health Insurance,140140
401(k),72668
401(k),172711
401(k),50865
401(k),101901
Paid Time Off,181895
Health Insurance,162491
401(k),172225
401(k),163589
401(k),114591
401(k),167109
401(k),94624
Remote Work,90284
Health Insurance,167766
401(k),183548
Paid Time Off,89356
401(k),57063
Remote Work,71991
Health Insurance,99754
401(k),100743
401(k),163797
Stock Options,55182
401(k),136770
Remote Work,162014
401(k),85926
Health Insurance,124260
Health Insurance,112414
Paid Time Off,54708
401(k),195427
401(k),190755
401(k),163006
Remote Work,171981
401(k),104274
Health Insurance,136472
Remote Work,68919
401(k),169679
Remote Work,148960
Paid Time Off,154473
Paid Time Off,170155
Remote Work,174427
Paid Time Off,106955
401(k),186477
401(k),61067
401(k),74141
Paid Time Off,193160
Health Insurance,93392
401(k),152547
401(k),95536
Health Insurance,91275
Stock Options,57828
401(k),179727
Remote Work,110971
Stock Options,175338
401(k),82834
Stock Options,199976
401(k),122086
Remote Work,90618
Remote Work,198053
Paid Time Off,164333
Stock Options,147520
Remote Work,165080
Health Insurance,130446
Health Insurance,91697
401(k),103588
Health Insurance,52630
401(k),58046
401(k),155906
Stock Options,65336
Health Insurance,129574
Stock Options,195315
401(k),181067
Paid Time Off,146976
401(k),142923
401(k),174657
401(k),157753
401(k),196578
401(k),53350
401(k),62780
401(k),65388
Stock Options,162124
401(k),61460
Paid Time Off,177786
Remote Work,160074
Paid Time Off,198884
401(k),135946
401(k),136111
401(k),120744
401(k),144001
Paid Time Off,142252
Remote Work,78058
Paid Time Off,149235
Stock Options,198038
Stock Options,175296
401(k),84864
401(k),160261
401(k),122793
Health Insurance,117869
401(k),58569
Remote Work,55867
Remote Work,71798
401(k),72477
Paid Time Off,187410
Remote Work,143162
Remote Work,65448
401(k),178463
Paid Time Off,67849
401(k),101131
401(k),155616
Paid Time Off,89243
401(k),79455
Paid Time Off,178055
401(k),186980
Health Insurance,123553
Paid Time Off,61850
Stock Options,130134
401(k),121307
401(k),144746
Remote Work,191828
Stock Options,108613
401(k),176014
401(k),90720
401(k),157941
401(k),52724
401(k),178210
401(k),77150
401(k),75905
401(k),85324
401(k),179826
401(k),187566
401(k),55105
Paid Time Off,172656
401(k),107533
401(k),142938
Paid Time Off,193619
Paid Time Off,74347
401(k),141558
Paid Time Off,138819
401(k),152276
401(k),120760
401(k),113861
401(k),51043
Paid Time Off,143188
Paid Time Off,199969
Paid Time Off,198570
Health Insurance,66370
Paid Time Off,139543
Remote Work,73827
401(k),133468
Paid Time Off,149583
Stock Options,51543
401(k),127835
401(k),162975
401(k),57390
401(k),164170
Remote Work,177974
Remote Work,138611
401(k),173007
Paid Time Off,67531
401(k),151789
401(k),76599
Stock Options,191794
Stock Options,73965
Remote Work,171686
401(k),76112
Remote Work,178698
Health Insurance,64864
Remote Work,172915
Stock Options,79937
Remote Work,157929
401(k),106459
401(k),112543
Stock Options,65015
Paid Time Off,125044
Remote Work,124555
401(k),193431
Stock Options,91662
Remote Work,80706
Stock Options,106692
401(k),126546
401(k),141538
Remote Work,148405
Stock Options,162024
Remote Work,134568
Paid Time Off,126592
Remote Work,174835
Health Insurance,174514
401(k),191670
Health Insurance,75861
Stock Options,123267
401(k),138913
401(k),176177
401(k),102449
Remote Work,95891
401(k),168687
401(k),62101
401(k),71208
401(k),107563
401(k),135863
Stock Options,162259
Paid Time Off,189675
401(k),80787
401(k),110559
401(k),134644
401(k),117079
401(k),179441
Health Insurance,146075
Health Insurance,198272
Remote Work,68758
401(k),186825
401(k),89361
Stock Options,125460
Paid Time Off,194151
Stock Options,133187
401(k),183302
401(k),113991
Health Insurance,77058
401(k),141268
401(k),199229
401(k),87291
401(k),164924
401(k),57735
401(k),147426
401(k),169967
401(k),135735
401(k),179941
Health Insurance,50599
Paid Time Off,73801
401(k),157082
401(k),172567
401(k),196331
401(k),88885
401(k),95954
401(k),132046
Remote Work,145231
Health Insurance,145119
401(k),114893
401(k),186373
401(k),92891
401(k),68940
Stock Options,69152
Stock Options,192250
Remote Work,104341
401(k),67576
Health Insurance,144015
401(k),142965
401(k),118107
Health Insurance,60211
Stock Options,126811
Stock Options,145209
401(k),185061
Remote Work,169728
Stock Options,160990
Paid Time Off,199848
401(k),166343
401(k),147496
Health Insurance,156445
401(k),184682
401(k),107369
Stock Options,71933
Paid Time Off,192953
Health Insurance,170172
401(k),145000
401(k),174798
401(k),140936
Paid Time Off,184982
401(k),69194
401(k),198942
Paid Time Off,162388
Stock Options,78508
Paid Time Off,151708
Remote Work,59181
Health Insurance,82902
Stock Options,76544
Stock Options,168552
Remote Work,180324
Paid Time Off,152484
401(k),62357
401(k),171686
401(k),152904
401(k),119550
401(k),185704
Health Insurance,91265
Remote Work,88514
Stock Options,159467
401(k),180170
401(k),179256
Remote Work,82741
Health Insurance,196659
Stock Options,189670
Remote Work,183554
Stock Options,53826
Paid Time Off,117563
Remote Work,96957
401(k),79539
401(k),151545
Paid Time Off,135602
401(k),79337
Health Insurance,69253
Remote Work,125068
Stock Options,56008
401(k),79823
Paid Time Off,186074
Paid Time Off,82786
401(k),81847
401(k),187423
Stock Options,142982
401(k),132845
Stock Options,126720
Paid Time Off,99036
Remote Work,65701
401(k),194242
Remote Work,195287
Health Insurance,134700
Health Insurance,76584
Stock Options,98982
401(k),54887
Paid Time Off,108074
401(k),113045
Paid Time Off,140987
401(k),99246
Health Insurance,125885
Paid Time Off,153153
Health Insurance,66125
Paid Time Off,139139
Paid Time Off,142451
Health Insurance,60051
Stock Options,108390
Stock Options,105025
Stock Options,139181
Remote Work,113713
401(k),136440
401(k),182509
401(k),142759
401(k),147351
Health Insurance,192164
Remote Work,162210
Paid Time Off,177309
401(k),167314
401(k),172778
Paid Time Off,153070
Health Insurance,124665
401(k),97352
401(k),123789
Remote Work,160509
Remote Work,153726
401(k),158472
Remote Work,94594
Stock Options,152238
Stock Options,141993
Health Insurance,78801
Remote Work,164385
Paid Time Off,79162
Health Insurance,117135
Health Insurance,144359
401(k),155014
401(k),104595
401(k),132471
Paid Time Off,91634
Remote Work,193054
Stock Options,140995
Stock Options,188208
401(k),168231
401(k),164555
401(k),58730
Paid Time Off,55957
Health Insurance,167307
Remote Work,71353
401(k),185473
401(k),134505
Health Insurance,93911
401(k),170515
401(k),123156
401(k),89181
401(k),52254
Health Insurance,111202
Paid Time Off,179058
401(k),173560
Stock Options,101407
Stock Options,89706
Health Insurance,137248
401(k),137568
Paid Time Off,75260
401(k),188458
Remote Work,125157
401(k),97916
401(k),96656
Paid Time Off,80515
Remote Work,140301
Remote Work,147686
401(k),155975
Stock Options,64934
401(k),160448
Remote Work,154976
401(k),55000
401(k),123143
Health Insurance,88440
401(k),95145
Health Insurance,190894
Remote Work,75194
401(k),165347
401(k),176829
Stock Options,110362
401(k),104159
401(k),91625
Health Insurance,77230
Health Insurance,54634
Health Insurance,150164
401(k),109639
Stock Options,181460
401(k),85402
401(k),157262
Remote Work,130710
401(k),143149
Remote Work,53360
401(k),113132
Health Insurance,58680
Remote Work,126645
Paid Time Off,96646
Stock Options,175803
Health Insurance,51755
Stock Options,188471
Health Insurance,174224
Health Insurance,54597
401(k),132006
401(k),194268
401(k),86469
Paid Time Off,159895
Remote Work,110441
Health Insurance,195246
Health Insurance,53408
401(k),198045
401(k),93373
401(k),126264
Paid Time Off,164371
Health Insurance,70666
Remote Work,131268
401(k),60096
Remote Work,70779
401(k),104383
401(k),155159
401(k),60323
401(k),95622
401(k),169642
401(k),165306
Paid Time Off,150160
401(k),97478
401(k),165313
Paid Time Off,108693
Health Insurance,80218
Paid Time Off,159060
401(k),124146
Stock Options,160846
Paid Time Off,118227
401(k),137654
401(k),106899
Remote Work,150699
Paid Time Off,62227
Remote Work,116534
Stock Options,95538
Paid Time Off,101811
Paid Time Off,198819
Health Insurance,124698
Paid Time Off,174911
401(k),81796
Health Insurance,81598
Remote Work,167351
Remote Work,126625
401(k),184497
Stock Options,53782
Health Insurance,53181
Paid Time Off,126472
401(k),159149
401(k),63816
401(k),88544
401(k),134460
401(k),118240
401(k),192820
401(k),168420
Paid Time Off,151576
401(k),173001
401(k),143147
401(k),145158
Stock Options,59570
Health Insurance,95626
401(k),133215
401(k),187211
Stock Options,161566
Paid Time Off,132280
401(k),123979
Remote Work,135683
401(k),102506
401(k),57000
Stock Options,130480
Stock Options,107717
401(k),156867
Remote Work,150695
Health Insurance,70435
401(k),100755
Stock Options,191622
401(k),120063
Stock Options,59219
401(k),185929
401(k),108232
Health Insurance,108379
Health Insurance,197108
401(k),93097
401(k),144365
Health Insurance,111560
Remote Work,144993
Paid Time Off,132644
401(k),141622
401(k),127783
401(k),66392
Health Insurance,172350
Remote Work,152676
Health Insurance,122865
401(k),132284
401(k),120353
401(k),82401
Remote Work,111763
Stock Options,68314
Paid Time Off,51113
401(k),183177
Paid Time Off,117448
Remote Work,57950
401(k),150886
Stock Options,168174
401(k),69698
Stock Options,101149
Paid Time Off,95098
401(k),92058
Paid Time Off,198910
Health Insurance,139959
401(k),58593
401(k),110404
401(k),104996
Health Insurance,137737
Paid Time Off,169537
Remote Work,106274
Health Insurance,50220
Paid Time Off,72684
401(k),128444
401(k),91106
401(k),111281
401(k),57232
Stock Options,129101
Stock Options,189179
401(k),178937
Health Insurance,79899
Health Insurance,106302
Remote Work,127382
Stock Options,191427
Health Insurance,190528
401(k),71525
401(k),92602
Paid Time Off,170849
Remote Work,58871
Stock Options,94206
401(k),165718
Remote Work,75140
401(k),163391
Health Insurance,68337
Health Insurance,59057
Health Insurance,104534
Paid Time Off,180536
401(k),191983
401(k),119052
401(k),89626
401(k),105524
401(k),61690
401(k),130215
401(k),100934
401(k),143624
Health Insurance,196289
Paid Time Off,89781
401(k),106203
Remote Work,89750
Stock Options,65505
401(k),127506
401(k),59074
Paid Time Off,145998
401(k),189192
Remote Work,62383
Remote Work,102213
401(k),116169
Health Insurance,199571
Paid Time Off,93519
401(k),165543
401(k),158665
Paid Time Off,139167
Paid Time Off,110652
401(k),142583
401(k),144447
401(k),139002
Stock Options,176743
401(k),81091
401(k),185596
Stock Options,189649
401(k),148977
401(k),91763
401(k),178765
401(k),181180
Paid Time Off,102178
Remote Work,132062
401(k),64488
Health Insurance,182815
Health Insurance,165836
401(k),170175
Stock Options,89087
Health Insurance,58030
401(k),112873
401(k),171441
Paid Time Off,176208
401(k),199887
Paid Time Off,188753
401(k),164499
Health Insurance,104680
401(k),185825
401(k),60264
Remote Work,179888
401(k),185493
Remote Work,149083
Remote Work,103554
401(k),113760
Stock Options,107422
Health Insurance,102529
Health Insurance,96607
Health Insurance,63074
Paid Time Off,100525
401(k),141804
Health Insurance,136304
401(k),136966
401(k),124481
401(k),180939
Remote Work,173024
401(k),175969
Remote Work,67819
Remote Work,62538
401(k),89431
401(k),86612
401(k),150615
Remote Work,133824
401(k),127009
Remote Work,175372
401(k),140023
401(k),52399
401(k),135228
Paid Time Off,194762
Stock Options,110373
Health Insurance,187086
401(k),175027
Remote Work,91680
401(k),53902
401(k),119511
401(k),139264
Remote Work,152592
401(k),57007
401(k),83708
Health Insurance,118583
Remote Work,197186
Health Insurance,137962
Remote Work,137918
401(k),73757
Stock Options,107177
Remote Work,103283
Remote Work,69431
Remote Work,132169
Stock Options,147772
401(k),169720
Stock Options,78441
401(k),158217
Paid Time Off,168561
401(k),70333
Paid Time Off,158713
401(k),195547
Paid Time Off,184980
Remote Work,123490
Health Insurance,150259
Remote Work,101038
401(k),157031
401(k),140849
Health Insurance,176226
401(k),83637
Remote Work,96693
401(k),117287
Health Insurance,100010
Paid Time Off,80680
Stock Options,109163
Stock Options,179538
401(k),59154
401(k),176715
401(k),192341
Remote Work,90015
401(k),191169
Stock Options,77447
Stock Options,190508
401(k),149977
401(k),60872
Remote Work,160914
401(k),100289
401(k),92270
401(k),193006
401(k),89330
Stock Options,182056
Health Insurance,70458
Remote Work,106554
401(k),84439
Health Insurance,187979
401(k),75089
401(k),116804
Remote Work,124247
Stock Options,107188
Remote Work,53957
401(k),99924
401(k),95286
Remote Work,139717
Stock Options,57731
401(k),116137
Remote Work,90804
401(k),86190
401(k),106302
Stock Options,199578
Health Insurance,84152
Remote Work,152086
401(k),129171
401(k),136824
401(k),56890
Remote Work,130300
Remote Work,142625
401(k),74007
401(k),102347
Paid Time Off,60985
Health Insurance,91917
Health Insurance,91034
401(k),170570
401(k),159726
Health Insurance,100005
Stock Options,117239
Remote Work,81146
401(k),70553
Stock Options,69946
401(k),182482
401(k),153913
401(k),159057
401(k),57532
Remote Work,143232
Health Insurance,174154
Remote Work,138663
Paid Time Off,198015
401(k),119578
401(k),82419
401(k),163604
401(k),86487
401(k),197830
401(k),159991
401(k),190589
401(k),63303
Paid Time Off,177889
401(k),163822
Health Insurance,131774
401(k),190398
Remote Work,138283
401(k),111770
Health Insurance,139882
401(k),67232
401(k),71412
401(k),85022
401(k),182342
401(k),136012
Health Insurance,126917
401(k),68706
401(k),77684
Paid Time Off,102863
Remote Work,71301
401(k),66376
Health Insurance,183188
401(k),193591
401(k),116906
401(k),96163
Health Insurance,135766
Health Insurance,196196
Health Insurance,174546
401(k),170218
401(k),53531
401(k),170946
401(k),75884
Remote Work,189051
Remote Work,199523
Paid Time Off,130396
Remote Work,110955
Stock Options,183197
401(k),50811
Health Insurance,175983
Health Insurance,71190
401(k),63625
Health Insurance,74771
401(k),50438
Remote Work,122469
Health Insurance,127742
Stock Options,197115
401(k),187046
Remote Work,135635
Health Insurance,171015
Health Insurance,121781
Remote Work,71087
401(k),71338
Stock Options,64529
Health Insurance,195081
Paid Time Off,112042
401(k),191316
Health Insurance,178477
Paid Time Off,74336
Paid Time Off,140442
401(k),179882
401(k),190557
Stock Options,136666
401(k),157493
401(k),185932
Health Insurance,63565
Stock Options,123809
401(k),197301
401(k),104466
401(k),134781
Paid Time Off,199390
401(k),172371
401(k),120516
Remote Work,75799
Paid Time Off,180726
401(k),158092
Stock Options,136523
Remote Work,55422
Paid Time Off,123331
401(k),190565
Health Insurance,127298
Health Insurance,138097
Stock Options,172645
Stock Options,140744
401(k),69847
401(k),164546
401(k),119365
Health Insurance,155282
Health Insurance,97648
Remote Work,110566
401(k),176107
401(k),143876
401(k),164455
401(k),142115
Stock Options,180657
401(k),172943
Stock Options,162875
401(k),191675
401(k),123347
Paid Time Off,68418
401(k),146155
401(k),148575
401(k),189793
401(k),71523
401(k),101907
401(k),53932
Health Insurance,113911
401(k),172424
401(k),80313
401(k),193844
Stock Options,179457
Health Insurance,169129
401(k),83456
Paid Time Off,61548
401(k),105243
401(k),130925
401(k),50827
Stock Options,129497
Paid Time Off,87259
Paid Time Off,89406
Paid Time Off,167043
401(k),83291
Health Insurance,85493
Paid Time Off,146049
401(k),65495
Remote Work,84715
401(k),91991
Paid Time Off,67373
401(k),191749
Stock Options,72339
Paid Time Off,188527
401(k),178218
Stock Options,69414
Remote Work,52070
401(k),99681
Health Insurance,53096
Health Insurance,54727
401(k),178339
401(k),170231
Health Insurance,199319
Paid Time Off,177667
Stock Options,74429
Stock Options,149905
401(k),115935
401(k),106857
Health Insurance,195535
Remote Work,130343
Paid Time Off,66204
401(k),73109
Remote Work,176769
401(k),92864
401(k),147647
Remote Work,188948
Remote Work,137253
Remote Work,144332
401(k),120204
Stock Options,56177
Stock Options,117123
Remote Work,156666
401(k),135703
Health Insurance,112697
401(k),178328
Stock Options,63882
Remote Work,109306
401(k),169992
401(k),106874
Stock Options,56259
401(k),139276
Stock Options,73768
Stock Options,91003
Stock Options,54522
Paid Time Off,128873
Paid Time Off,112965
Remote Work,73525
Health Insurance,96549
401(k),77045
Remote Work,74882
Health Insurance,194109
401(k),186224
Paid Time Off,95677
Remote Work,177776
401(k),143348
Health Insurance,58998
Paid Time Off,188368
Remote Work,195405
401(k),198199
Remote Work,55357
401(k),82599
Stock Options,158999
Paid Time Off,132657
401(k),82350
Remote Work,128028
401(k),83440
401(k),193286
Health Insurance,157985
Remote Work,61913
401(k),62626
401(k),106133
Remote Work,86673
401(k),132125
Stock Options,199306
401(k),124973
401(k),179901
401(k),53984
401(k),171791
Paid Time Off,63197
401(k),101942
401(k),150874
Paid Time Off,188022
401(k),150284
401(k),89853
Health Insurance,172946
Health Insurance,72708
401(k),147118
Paid Time Off,141281
Paid Time Off,108332
401(k),113212
401(k),70144
Health Insurance,131427
401(k),110420
401(k),190898
401(k),76386
Stock Options,192066
Paid Time Off,150720
Paid Time Off,180545
401(k),81742
Health Insurance,99239
Stock Options,94909
401(k),163987
Health Insurance,84151
Health Insurance,92251
401(k),90092
401(k),108018
Stock Options,178591
401(k),170182
Paid Time Off,50507
Paid Time Off,56725
Health Insurance,88130
401(k),124791
401(k),146536
Paid Time Off,148227
Stock Options,58889
401(k),166433
Stock Options,150126
Health Insurance,188473
Remote Work,67861
Remote Work,113122
Remote Work,85519
401(k),149213
401(k),176397
Stock Options,95430
Paid Time Off,171261
Remote Work,193867
Remote Work,162936
Stock Options,103566
401(k),129168
Remote Work,68075
Remote Work,121905
401(k),119289
Paid Time Off,155027
401(k),103376
401(k),165764
Remote Work,63148
Remote Work,109890
401(k),149406
Stock Options,106154
Paid Time Off,52028
Stock Options,168512
Health Insurance,143095
401(k),53111
401(k),107099
Health Insurance,152710
401(k),113395
401(k),175765
Paid Time Off,147194
Stock Options,83783
Remote Work,144172
Stock Options,105481
Remote Work,179314
401(k),187394
Remote Work,178488
Health Insurance,127097
401(k),112088
Health Insurance,53098
401(k),135364
401(k),169112
401(k),112942
Stock Options,74026
401(k),91264
Remote Work,81205
Health Insurance,118161
401(k),181864
Paid Time Off,97757
401(k),103873
Remote Work,72637
Stock Options,60364
401(k),115069
401(k),139755
401(k),103866
Paid Time Off,114545
Health Insurance,170203
Remote Work,64287
Paid Time Off,135587
Remote Work,57353
401(k),81650
401(k),167044
Remote Work,105545
401(k),71140
Stock Options,153387
Remote Work,75509
401(k),119794
Stock Options,188486
401(k),185988
Stock Options,69976
Paid Time Off,138468
Remote Work,193172
401(k),146836
401(k),121058
401(k),79943
401(k),122151
Remote Work,59091
401(k),195472
401(k),91771
Paid Time Off,131679
Remote Work,131342
Health Insurance,51055
401(k),57422
401(k),198211
Health Insurance,77132
Remote Work,168137
Paid Time Off,127930
Health Insurance,74070
Remote Work,105996
Stock Options,132079
401(k),162599
401(k),129930
Health Insurance,50680
Remote Work,65662
Stock Options,66981
401(k),74640
Remote Work,60644
401(k),159411
401(k),94099
Paid Time Off,66800
Stock Options,162826
Paid Time Off,103206
401(k),152242
Stock Options,79821
Remote Work,52871
Remote Work,73072
401(k),63290
Health Insurance,180830
Stock Options,143832
Health Insurance,181499
Remote Work,182522
401(k),157698
Health Insurance,59888
Stock Options,80338
401(k),197285
Stock Options,122771
401(k),68551
Remote Work,195827
Stock Options,141198
Health Insurance,145582
Remote Work,56468
Remote Work,177620
Stock Options,179861
Paid Time Off,97516
401(k),189437
401(k),89170
Paid Time Off,151225
Paid Time Off,120875
Stock Options,100205
Stock Options,51724
Remote Work,76135
401(k),64300
401(k),162138
Remote Work,155659
Stock Options,51611
401(k),133996
401(k),150093
401(k),140237
Health Insurance,119206
Remote Work,104885
401(k),82226
Health Insurance,195152
Remote Work,166207
Health Insurance,154706
Stock Options,97666
Health Insurance,103631
Remote Work,150561
Stock Options,59678
401(k),111573
401(k),90575
401(k),185180
401(k),56896
Paid Time Off,50707
Stock Options,194537
Remote Work,87476
Remote Work,89013
401(k),180347
Stock Options,142141
401(k),124799
Health Insurance,153741
Paid Time Off,126113
401(k),172811
401(k),93069
401(k),113147
401(k),61211
Remote Work,136943
401(k),190178
401(k),193589
401(k),174742
Paid Time Off,134621
Paid Time Off,172887
Paid Time Off,93290
Health Insurance,177039
Paid Time Off,118145
Paid Time Off,55352
Health Insurance,139539
Health Insurance,150822
Stock Options,96394
Remote Work,149827
Paid Time Off,141521
401(k),184384
401(k),184349
401(k),194767
401(k),181326
Remote Work,180544
Remote Work,117994
401(k),133393
401(k),66704
Stock Options,155057
Stock Options,130443
Health Insurance,100262
401(k),55014
Paid Time Off,124484
401(k),80381
Paid Time Off,67708
Health Insurance,70572
Health Insurance,133119
Paid Time Off,107208
Remote Work,111973
Paid Time Off,138965
401(k),174761
Paid Time Off,189456
Health Insurance,193384
Stock Options,69827
401(k),68900
401(k),112200
Paid Time Off,163370
401(k),178617
Stock Options,84723
401(k),157028
Remote Work,155803
Health Insurance,195177
Paid Time Off,100318
Remote Work,74135
401(k),125777
Paid Time Off,97104
401(k),173939
Paid Time Off,132398
Remote Work,153828
401(k),144261
401(k),86201
Paid Time Off,95582
Health Insurance,89373
401(k),112661
401(k),105671
Remote Work,98271
401(k),161751
Remote Work,166168
401(k),158349
Paid Time Off,131284
401(k),55018
Paid Time Off,166415
Health Insurance,154669
401(k),82829
401(k),57573
401(k),103182
401(k),114228
401(k),160225
Health Insurance,172871
Stock Options,128170
401(k),66474
401(k),141109
401(k),164490
Health Insurance,182389
Paid Time Off,62372
Health Insurance,193445
Health Insurance,109454
401(k),131845
Health Insurance,76736
Stock Options,180014
401(k),140439
Paid Time Off,163828
401(k),170732
Remote Work,166342
Health Insurance,109176
Remote Work,101596
401(k),115422
401(k),66010
401(k),96350
401(k),62004
401(k),56461
Health Insurance,160648
401(k),90073
401(k),141759
Health Insurance,147817
Paid Time Off,58905
401(k),157607
Remote Work,138495
Stock Options,112036
Health Insurance,130032
401(k),129127
401(k),104901
Paid Time Off,57439
Paid Time Off,162569
Stock Options,85059
401(k),182490
Health Insurance,104583
401(k),63428
401(k),60484
401(k),151944
Health Insurance,176370
401(k),71449
401(k),57298
Paid Time Off,94677
Health Insurance,53137
401(k),77477
401(k),154489
401(k),169282
Health Insurance,58707
Paid Time Off,118976
Health Insurance,90906
401(k),104477
Health Insurance,155376
Health Insurance,189479
Health Insurance,136438
401(k),96603
401(k),134982
Health Insurance,112248
Health Insurance,94809
Stock Options,88807
401(k),173660
Stock Options,159201
Paid Time Off,111170
Stock Options,90279
401(k),118841
Paid Time Off,184187
401(k),145120
401(k),191905
Health Insurance,187132
Remote Work,53017
401(k),127831
Paid Time Off,97948
Paid Time Off,121083
401(k),107190
Stock Options,125670
Paid Time Off,82202
401(k),191605
401(k),160585
Stock Options,58330
Remote Work,181154
401(k),162457
401(k),184737
Remote Work,199002
Paid Time Off,166033
Health Insurance,70429
401(k),199278
Health Insurance,182150
Paid Time Off,174748
401(k),166733
Remote Work,119581
Stock Options,128659
Health Insurance,128816
Health Insurance,192993
401(k),185279
Remote Work,71559
Stock Options,130707
401(k),106966
401(k),186286
401(k),157509
Health Insurance,137107
Stock Options,80047
Paid Time Off,72487
401(k),127968
Paid Time Off,54506
Health Insurance,111172
Health Insurance,158393
401(k),76826
401(k),96629
401(k),121437
Health Insurance,101791
401(k),132727
401(k),194141
Remote Work,133322
Health Insurance,172686
401(k),181714
401(k),192579
Health Insurance,195107
Health Insurance,137436
401(k),141291
401(k),179101
401(k),95796
401(k),190369
Remote Work,165721
401(k),136546
401(k),130805
Stock Options,137069
Stock Options,145995
401(k),194494
401(k),63204
Health Insurance,114628
401(k),57062
401(k),135713
Paid Time Off,197233
Health Insurance,130917
401(k),135629
Stock Options,96397
401(k),180969
Remote Work,154724
Stock Options,191196
401(k),64172
401(k),179259
401(k),88080
Stock Options,67000
Paid Time Off,86497
401(k),137268
401(k),57356
Remote Work,69224
Remote Work,128833
Stock Options,67781
401(k),109597
401(k),83163
Remote Work,135612
Stock Options,71717
Remote Work,118738
Health Insurance,184341
Paid Time Off,136097
Remote Work,170761
Health Insurance,57316
401(k),74192
Paid Time Off,131128
401(k),120373
401(k),192040
401(k),69726
401(k),80750
Remote Work,123304
401(k),53298
Paid Time Off,177595
Paid Time Off,50627
401(k),107361
Stock Options,176645
401(k),175181
Remote Work,102297
401(k),90705
401(k),76674
401(k),84863
Stock Options,149278
401(k),108776
401(k),147581
Paid Time Off,198912
401(k),78521
Remote Work,114669
401(k),195568
401(k),121710
401(k),127350
401(k),198659
401(k),193469
401(k),120499
401(k),176714
401(k),59226
Remote Work,139196
